"","Variable","Unit","Detailed.description","Enter.label.here","Max.40.char","file"
"140","BAST",NA,"Baseline aspartate aminotransferase","Baseline aspartate aminotransferase",35,"pkdata.csv"
"141","BAST",NA,"BAST","BAST",4,"pkdata.csv"
"142","AST",NA,"Aspartate aminotransferase","Aspartate aminotransferase",26,"pkdata.csv"
"143","AST",NA,"AST","AST",3,"pkdata.csv"
"144","BBILI",NA,"Baseline bilirubin","Baseline bilirubin",18,"pkdata.csv"
"145","BBILI",NA,"BBILI","BBILI",5,"pkdata.csv"
"146","BILI",NA,"bilirubin","bilirubin",9,"pkdata.csv"
"147","BILI",NA,"BILI","BILI",4,"pkdata.csv"
"148","BCREAT",NA,"Baseline creatinine","Baseline creatinine",19,"pkdata.csv"
"149","BCREAT",NA,"BCREAT","BCREAT",6,"pkdata.csv"
"150","CREAT",NA,"Creatinine","Creatinine",10,"pkdata.csv"
"151","CREAT",NA,"CREAT","CREAT",5,"pkdata.csv"
"152","BCRCL",NA,"Baseline creatinine clearance","Baseline creatinine clearance",29,"pkdata.csv"
"153","BCRCL",NA,"BCRCL","BCRCL",5,"pkdata.csv"
"154","CRCL",NA,"Creatinine clearance","Creatinine clearance",20,"pkdata.csv"
"155","CRCL",NA,"CRCL","CRCL",4,"pkdata.csv"
"156","BEGFR",NA,"Baseline estimated glomerular filtration rate","Baseline estimated glomerular filtration rate",45,"pkdata.csv"
"157","BEGFR",NA,"BEGFR","BEGFR",5,"pkdata.csv"
"158","EGFR",NA,"Estimated glomerular filtration rate","Estimated glomerular filtration rate",36,"pkdata.csv"
"159","EGFR",NA,"EGFR","EGFR",4,"pkdata.csv"
"160","TULOC",NA,"Tumor location","Tumor location",14,"pkdata.csv"
"161","TULOC",NA,"TULOC","TULOC",5,"pkdata.csv"
"162","TUTYPE",NA,"tutype","tutype",6,"pkdata.csv"
"163","TUTYPE",NA,"TUTYPE","TUTYPE",6,"pkdata.csv"
"164","ECOG",NA,"ecog","ecog",4,"pkdata.csv"
"165","ECOG",NA,"ECOG","ECOG",4,"pkdata.csv"
"166","PPI",NA,"ppi","ppi",3,"pkdata.csv"
"167","PPI",NA,"PPI","PPI",3,"pkdata.csv"
"168","CYPINH",NA,"cypinh","cypinh",6,"pkdata.csv"
"169","CYPINH",NA,"CYPINH","CYPINH",6,"pkdata.csv"
"170","CYPIND",NA,"cypind","cypind",6,"pkdata.csv"
"171","CYPIND",NA,"CYPIND","CYPIND",6,"pkdata.csv"
"172","BHEPIMP",NA,"bhepimp","bhepimp",7,"pkdata.csv"
"173","BHEPIMP",NA,"BHEPIMP","BHEPIMP",7,"pkdata.csv"
"174","HEPIMP",NA,"hepimp","hepimp",6,"pkdata.csv"
"175","HEPIMP",NA,"HEPIMP","HEPIMP",6,"pkdata.csv"
"176","BRIMPC",NA,"brimpc","brimpc",6,"pkdata.csv"
"177","BRIMPC",NA,"BRIMPC","BRIMPC",6,"pkdata.csv"
"178","RIMPC",NA,"rimpc","rimpc",5,"pkdata.csv"
"179","RIMPC",NA,"RIMPC","RIMPC",5,"pkdata.csv"
"180","BRIMPE",NA,"brimpe","brimpe",6,"pkdata.csv"
"181","BRIMPE",NA,"BRIMPE","BRIMPE",6,"pkdata.csv"
"182","RIMPE",NA,"rimpe","rimpe",5,"pkdata.csv"
"183","RIMPE",NA,"RIMPE","RIMPE",5,"pkdata.csv"
